Achievements,Action,Active sport,Adrenaline sports,Age,Ageing,Alcohol,Alternative,Animated,Appearence and gestures,Art exhibitions,Assertiveness,Biology,Borrowed stuff,Branded clothing,Fear_index,Calculation_973340536937771011,Loneliness2,Number of friends 2,Happiness in life2,Cars,Celebrities,Changing the past,Charity,Cheating in school,Chemistry,Children,Classical music,Comedy,Compassion to animals,Country,"Countryside, outdoors",Criminal damage,Daily events,Dance,Dancing,Dangerous dogs,Darkness,Decision making,Documentary,Dreams,Eating to survive (group),Eating to survive,Economy Management,Education,Elections,Empathy,Energy levels,Entertainment spending (group),Entertainment spending,Fake,Fantasy/Fairy tales,Fear of public speaking,Final judgement,Finances,Finding lost valuables,Flying,Folk,Foreign languages,Friends versus money,Fun with friends,Funniness,Gardening,Gender,Geography,Getting angry,Getting up,Giving (group),Giving,God (group) 1,God (group),God2 (group),God,Happiness in life (group),Happiness in life2 (group),Happiness in life,Health,Healthy eating,Height,Heights,"Hiphop, Rap",History,Horror,House - block of flats,Hypochondria,Interests or hobbies (group),Interests or hobbies,Internet usage,Internet,Judgment calls,Keeping promises,Knowing the right people,Latino,Law,Left - right handed,Life struggles,Loneliness (group),Loneliness2 (group),Loneliness,Loss of interest,Lying,Mathematics,Medicine,Metal or Hardrock,Mood swings,Movies,Music,Musical instruments,Musical,New environment,Number of Records,Number of friends (group),Number of friends 2 (group),Number of friends,Number of siblings,Only child,Opera,PC,Parents' advice,Passive sport,Personality,Pets,Physics,Politics,Pop,Prioritising workload,Psychology,Public speaking,Punctuality,Punk,Questionnaires or polls,Rats,Reading,"Reggae, Ska",Reliability,Religion,Responding to a serious letter,Rock n roll,Rock,Romantic,Sci-fi,Science and technology,Self-criticism,Shopping centres,Shopping,Slow songs or fast songs,Small - big dogs,Smoking,Snakes,Socializing,Spending on gadgets,Spending on healthy eating (group),Spending on healthy eating,Spending on looks,Spiders,Storm,"Swing, Jazz","Techno, Trance",Theatre,Thinking ahead,Thriller,Unpopularity,Village - town,Waiting,War,Weight,Western,Workaholism,Writing notes,Writing
3,2,2,2,20,5,social drinker,5,4,4,1,1,1,5,5,31,neutral,very lonely,neutral,neutral,,1,5,2,5,1,4,2,5,5,2,2,5,3,4,1,4,1,1,4,3,Other,3,1,secondary school,5,5,3,be social,5,1,2,5,3,3,1,4,1,3,1,3,1,1,,1,4,2,give less,1,Other,n,Other,3,3,Other,3,2,4,183,3,1,1,4,block of flats,1,few interests,1,most of the day,1,3,4,3,2,1,left handed,3,5,very lonely,5,1,sometimes,1,1,4,4,5,4,1,2,3,1,Other,Other,3,3,no,1,1,4,1,4,3,1,1,1,3,1,5,i am often early,1,1,2,3,1,5,1,3,2,3,4,5,1,3,1,1,1,1,tried smoking,1,5,5,eat healthy,5,3,5,1,1,5,1,4,3,1,city,3,1,65,1,1,3,1
3,4,5,3,29,2,drink a lot,5,4,3,4,5,1,4,3,34,not believing god,neutral,lots of friends,very happy,4,4,2,2,4,1,3,2,4,3,1,4,3,4,5,4,3,4,4,4,3,1,1,4,masters degree,5,4,4,be social,5,2,4,4,2,2,2,2,2,4,3,5,4,2,,3,2,4,give more,4,Other,not believe in god,Other,2,Other,Other,4,3,4,182,5,5,4,3,block of flats,2,many interests,5,most of the day,5,4,5,4,4,2,right handed,2,3,Other,3,3,sometimes,2,2,3,3,5,5,5,2,3,1,4,Other,4,1,no,2,5,3,4,4,2,2,4,4,4,4,4,i am often early,5,2,4,2,5,5,3,3,3,4,4,4,4,4,2,4,3,4,former smoker,4,3,2,eat healthy,4,4,4,2,4,2,4,4,3,3,city,3,4,92,3,4,4,2
4,4,2,1,19,3,social drinker,3,2,4,2,2,2,4,2,26,neutral,not lonely,neutral,neutral,3,1,5,1,5,2,2,2,3,5,2,2,1,2,3,1,4,4,4,2,3,1,1,3,primary school,1,4,3,not be social,2,4,3,4,2,2,4,2,2,5,4,5,4,1,,2,2,5,give less,2,Other,n,Other,3,3,Other,3,2,2,163,2,2,2,5,block of flats,3,few interests,2,few hours a day,5,2,4,5,3,2,right handed,3,2,Other,2,4,sometimes,2,2,5,4,5,5,1,3,4,1,Other,Other,3,0,yes,1,2,3,1,2,4,2,2,3,1,5,5,i am always on time,4,3,1,4,2,3,1,3,2,4,2,3,2,5,2,1,3,4,tried smoking,1,4,4,eat healthy,4,2,4,1,2,4,2,4,5,5,city,4,2,54,2,4,4,1
1,5,3,3,25,5,social drinker,1,5,3,1,3,1,5,3,37,blieving god,very lonely,no friends,very unhappy,1,5,5,3,4,1,5,,5,5,4,,1,3,5,4,3,3,1,3,3,1,1,3,secondary school,5,5,3,be social,4,1,5,5,5,3,5,5,5,2,5,5,3,5,,4,3,5,give more,5,Other,believe in god,blieving god,5,Other,very unhappy,2,3,3,164,5,5,2,3,house/bungalow,5,many interests,4,few hours a day,5,5,5,4,,1,right handed,3,5,very lonely,5,1,only to avoid hurting someone,1,1,3,5,5,5,1,3,3,1,Other,no friends,1,1,no,1,3,4,5,3,5,1,3,4,4,1,5,i am often running late,3,3,3,1,3,5,2,1,,5,1,3,3,5,3,5,5,3,tried smoking,2,3,1,eat healthy,5,3,1,5,2,3,3,5,3,5,village,1,1,54,1,3,3,1
1,3,1,1,,2,never,3,5,3,4,3,4,4,1,27,blieving god,very lonely,no friends,neutral,5,2,5,1,2,3,5,5,4,3,3,3,4,4,4,1,4,2,3,3,3,Other,2,2,primary school,1,3,3,not be social,2,2,4,2,2,4,4,5,3,5,3,3,3,1,,5,5,3,give more,4,4,believe in god,blieving god,4,3,Other,3,3,1,,2,4,4,1,house/bungalow,1,few interests,1,few hours a day,5,2,3,3,4,2,right handed,3,5,very lonely,5,4,sometimes,3,3,2,5,2,5,1,5,2,1,Other,no friends,1,,yes,2,4,5,3,2,1,3,3,5,3,,2,i am often early,2,4,1,4,3,3,3,2,4,4,3,1,2,3,4,3,3,3,never smoked,4,3,1,eat healthy,4,1,3,2,5,2,2,3,3,4,village,4,2,,1,5,5,4
3,5,4,1,18,3,social drinker,5,,3,1,4,1,4,3,29,neutral,neutral,lots of friends,very happy,1,4,2,3,5,1,3,3,5,5,3,5,5,4,2,1,5,3,,5,3,Other,3,5,secondary school,1,5,4,n,3,1,5,1,3,2,4,4,4,5,5,5,1,1,,5,5,3,give more,5,Other,n,Other,3,Other,Other,4,5,3,168,3,5,4,3,house/bungalow,5,neutral,3,few hours a day,5,5,3,4,3,5,right handed,5,3,Other,3,2,only to avoid hurting someone,1,1,,5,5,5,5,3,2,1,Other,Other,5,0,yes,1,2,4,4,3,5,1,1,5,2,5,3,i am always on time,3,4,1,5,5,3,1,3,5,5,5,4,5,3,5,5,3,2,tried smoking,5,3,2,neutral,3,4,1,3,1,2,5,5,3,4,village,3,4,56,2,3,5,5
4,2,3,2,18,1,drink a lot,3,5,2,2,4,3,4,2,25,blieving god,neutral,lots of friends,very happy,1,4,2,2,5,2,4,4,5,5,5,4,1,3,3,2,2,5,2,3,3,Other,2,2,secondary school,5,5,3,be social,5,2,5,3,3,1,3,2,2,3,4,5,5,1,female,3,2,5,give less,2,Other,believe in god,blieving god,5,Other,Other,4,3,2,172,1,3,4,4,,2,many interests,5,few hours a day,4,4,4,3,4,3,right handed,4,3,Other,3,2,sometimes,3,2,4,3,4,5,5,5,2,1,Other,Other,5,4,no,2,2,3,3,3,5,2,3,3,1,5,3,i am often running late,4,2,3,5,4,2,2,4,5,5,5,2,2,4,2,2,3,3,current smoker,4,1,1,neutral,3,2,1,3,3,1,3,3,3,3,city,3,3,60,1,2,2,3
2,4,2,1,20,1,social drinker,4,3,1,1,3,4,5,3,27,blieving god,not lonely,neutral,very happy,2,3,1,1,2,1,5,3,4,3,3,3,1,3,1,1,3,3,3,3,3,1,1,1,secondary school,4,5,3,not be social,1,1,3,3,3,4,3,3,3,3,3,4,1,2,female,1,3,,neutral,3,Other,believe in god,blieving god,5,Other,Other,5,3,3,170,4,1,2,1,,4,few interests,2,less than an hour a day,3,5,4,1,1,2,right handed,5,Other,Other,1,1,only to avoid hurting someone,1,3,1,4,4,4,1,1,3,1,Other,Other,3,1,no,1,1,4,3,3,3,1,2,2,4,5,5,i am often early,2,4,2,1,2,5,2,4,4,5,4,2,2,4,3,3,3,3,never smoked,5,1,1,neutral,3,3,1,2,1,1,2,5,1,3,city,2,3,52,2,3,2,1
4,1,1,1,22,2,social drinker,1,2,5,1,3,1,3,3,33,neutral,neutral,neutral,neutral,3,2,4,1,5,1,5,1,5,5,3,5,4,2,3,5,4,4,5,1,3,1,1,4,college/bachelor degree,5,5,4,not be social,1,1,3,4,1,3,1,1,2,3,4,5,3,1,female,4,4,5,neutral,3,Other,n,Other,3,3,Other,3,5,3,160,2,3,2,4,,4,many interests,4,few hours a day,4,4,4,5,3,1,right handed,4,3,Other,3,4,sometimes,1,1,1,4,5,5,1,4,3,1,Other,Other,3,0,yes,1,2,4,5,3,4,1,1,2,2,1,4,i am always on time,1,3,4,1,2,2,1,4,1,2,5,1,1,4,3,4,3,3,tried smoking,4,5,1,eat healthy,4,4,4,4,2,1,4,3,4,3,city,3,3,47,1,3,2,1
3,2,1,1,21,4,drink a lot,4,5,3,4,4,2,3,3,24,not believing god,neutral,neutral,neutral,1,1,4,2,5,1,4,4,3,5,1,5,4,3,1,1,3,5,3,5,3,1,1,1,college/bachelor degree,4,3,2,be social,4,3,5,3,4,2,4,2,3,3,4,4,2,3,female,2,4,5,give less,1,Other,not believe in god,Other,2,3,Other,3,4,4,170,2,1,2,4,block of flats,1,neutral,3,few hours a day,4,4,3,3,2,1,,4,3,Other,3,3,sometimes,2,1,4,4,5,4,5,2,3,1,Other,Other,3,1,no,2,4,3,3,3,5,1,1,2,3,2,5,i am often early,2,2,1,3,2,4,1,4,2,5,3,4,3,4,2,3,3,3,tried smoking,1,1,2,eat healthy,4,4,2,1,2,1,3,3,3,4,city,2,4,55,2,4,4,1
